Wilayah,Nama Kecamatan,Nama Keluharan,Konfirmasi Positif,Konfirmasi Meninggal,Konfirmasi Isolasi Mandiri
Jakarta Barat,Cengkareng,Cengkareng Barat,8676,120,104
Jakarta Barat,Cengkareng,Cengkareng Timur,8926,119,89
Jakarta Barat,Cengkareng,Duri Kosambi,7437,88,81
Jakarta Barat,Cengkareng,Kapuk,9480,189,62
Jakarta Barat,Cengkareng,Kedaung Kali Angke,3146,39,32
Jakarta Barat,Cengkareng,Rawa Buaya,5648,71,72
Jakarta Barat,Grogol Petamburan,Grogol,3704,44,53
Jakarta Barat,Grogol Petamburan,Jelambar,5557,63,89
Jakarta Barat,Grogol Petamburan,Jelambar Baru,5377,50,84
Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,5138,50,123
Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,3869,38,74
Jakarta Barat,Grogol Petamburan,Tomang,4304,39,93
Jakarta Barat,Grogol Petamburan,Wijaya Kusuma,4642,56,72
Jakarta Barat,Kali Deres,Kalideres,7467,99,86
Jakarta Barat,Kali Deres,Kamal,2538,41,28
Jakarta Barat,Kali Deres,Pegadungan,8462,65,169
Jakarta Barat,Kali Deres,Semanan,3939,56,57
Jakarta Barat,Kali Deres,Tegal Alur,6774,85,66
Jakarta Barat,Kebon Jeruk,Duri Kepa,8347,87,173
Jakarta Barat,Kebon Jeruk,Kebon Jeruk,8410,94,136
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,4402,59,87
Jakarta Barat,Kebon Jeruk,Kedoya Utara,5618,61,76
Jakarta Barat,Kebon Jeruk,Kelapa Dua,3483,44,62
Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,3377,37,55
Jakarta Barat,Kebon Jeruk,Sukabumi Utara,4362,51,53
Jakarta Barat,Palmerah,Jati Pulo,2603,51,34
Jakarta Barat,Palmerah,Kemanggisan,5113,65,85
Jakarta Barat,Palmerah,Kota Bambu Selatan,2378,40,13
Jakarta Barat,Palmerah,Kota Bambu Utara,2252,39,13
Jakarta Barat,Palmerah,Palmerah,8175,139,91
Jakarta Barat,Palmerah,Slipi,3107,33,24
